"rules","support","confidence","lift","count"
"{} => {TotaalNietWesterseMigratieachtergrond_37}",1,1,1,372
"{} => {VoormaligeNederlandseAntillenAruba_39}",1,1,1,372
"{} => {Suriname_40}",1,1,1,372
"{} => {OverigNietWesterseMigratieachtergrond_42}",1,1,1,372
"{} => {NederlandseAchtergrond_43}",1,1,1,372
"{} => {TotaalMetMigratieachtergrond_44}",1,1,1,372
"{} => {WesterseMigratieachtergrond_45}",1,1,1,372
"{} => {TotaalNietWesterseMigratieachtergrond_46}",1,1,1,372
"{} => {OverigNietWesterseMigratieachtergrond_51}",1,1,1,372
"{} => {Bevolkingsdichtheid_57}",1,1,1,372
"{} => {Geboorte_58}",1,1,1,372
"{} => {GeboorteRelatief_59}",1,1,1,372
"{} => {Sterfte_60}",1,1,1,372
"{} => {Ongehuwd_25}",1,1,1,372
"{} => {GrijzeDruk_24}",1,1,1,372
"{} => {number}",1,1,1,372
"{} => {TotaleBevolking_1}",1,1,1,372
"{} => {Mannen_2}",1,1,1,372
"{} => {Vrouwen_3}",1,1,1,372
"{} => {JongerDan5Jaar_4}",1,1,1,372
"{} => {k_5Tot10Jaar_5}",1,1,1,372
"{} => {k_10Tot15Jaar_6}",1,1,1,372
"{} => {k_15Tot20Jaar_7}",1,1,1,372
"{} => {k_20Tot25Jaar_8}",1,1,1,372
"{} => {k_25Tot45Jaar_9}",1,1,1,372
"{} => {k_45Tot65Jaar_10}",1,1,1,372
"{} => {k_65Tot80Jaar_11}",1,1,1,372
"{} => {k_80JaarOfOuder_12}",1,1,1,372
"{} => {JongerDan5Jaar_13}",1,1,1,372
"{} => {k_5Tot10Jaar_14}",1,1,1,372
"{} => {k_10Tot15Jaar_15}",1,1,1,372
"{} => {k_15Tot20Jaar_16}",1,1,1,372
"{} => {k_20Tot25Jaar_17}",1,1,1,372
"{} => {k_25Tot45Jaar_18}",1,1,1,372
"{} => {k_45Tot65Jaar_19}",1,1,1,372
"{} => {k_65Tot80Jaar_20}",1,1,1,372
"{} => {k_80JaarOfOuder_21}",1,1,1,372
"{} => {TotaleDruk_22}",1,1,1,372
"{} => {GroeneDruk_23}",1,1,1,372
"{} => {SterfteRelatief_61}",1,1,1,372
"{} => {Nieuwvormingen_64}",1,1,1,372
"{} => {ZiektenVanHartEnVaatstelsel_65}",1,1,1,372
"{} => {BeroepsopleidendeLeerweg_104}",1,1,1,372
"{} => {BeroepsbegeleidendeLeerweg_105}",1,1,1,372
"{} => {HogerBeroepsonderwijs_106}",1,1,1,372
"{} => {WetenschappelijkOnderwijs_107}",1,1,1,372
"{} => {VoortgezetOnderwijs_108}",1,1,1,372
"{} => {MiddelbaarBeroepsonderwijs_109}",1,1,1,372
"{} => {HogerBeroepsonderwijsBachelor_110}",1,1,1,372
"{} => {WoMasterDoctoraal_111}",1,1,1,372
"{} => {TotaalAantalBanen_112}",1,1,1,372
"{} => {TotaalPersonen_121}",1,1,1,372
"{} => {Mannen_122}",1,1,1,372
"{} => {Vrouwen_123}",1,1,1,372
"{} => {k_35Tot45Jaar_125}",1,1,1,372
"{} => {k_45Tot55Jaar_126}",1,1,1,372
"{} => {k_55Tot65Jaar_127}",1,1,1,372
"{} => {NederlandseAchtergrond_128}",1,1,1,372
"{} => {HoofdkostwinnersZonderPartner_131}",1,1,1,372
"{} => {HoofdkostwinnersMetPartner_132}",1,1,1,372
"{} => {PartnersVanHoofdkostwinner_133}",1,1,1,372
"{} => {TotaalActief_134}",1,1,1,372
"{} => {WerknemersParticulierBedrijf_135}",1,1,1,372
"{} => {Zelfstandigen_137}",1,1,1,372
"{} => {TotaalNietActief_138}",1,1,1,372
"{} => {Pensioenontvangers65JaarOfOuder_139}",1,1,1,372
"{} => {VoortgezetOnderwijs_103}",1,1,1,372
"{} => {Basisonderwijs_100}",1,1,1,372
"{} => {ZiektenVanAdemhalingsstelsel_66}",1,1,1,372
"{} => {OverigeDoodsoorzaken_68}",1,1,1,372
"{} => {VestigingUitAndereGemeente_69}",1,1,1,372
"{} => {VertrekNaarAndereGemeente_70}",1,1,1,372
"{} => {VerhuismobiliteitRelatief_73}",1,1,1,372
"{} => {Immigratie_74}",1,1,1,372
"{} => {Emigratie_75}",1,1,1,372
"{} => {InwonersOp31December_78}",1,1,1,372
"{} => {GemiddeldAantalInwoners_81}",1,1,1,372
"{} => {TotaalAantalParticuliereHuishoudens_82}",1,1,1,372
"{} => {Eenpersoonshuishoudens_83}",1,1,1,372
"{} => {HuishoudensZonderKinderen_84}",1,1,1,372
"{} => {HuishoudensMetKinderen_85}",1,1,1,372
"{} => {Eenpersoonshuishoudens_86}",1,1,1,372
"{} => {HuishoudensZonderKinderen_87}",1,1,1,372
"{} => {HuishoudensMetKinderen_88}",1,1,1,372
"{} => {GemiddeldeHuishoudensgrootte_89}",1,1,1,372
"{} => {VoorraadOp1Januari_90}",1,1,1,372
"{} => {Woningdichtheid_93}",1,1,1,372
"{} => {Koopwoningen_94}",1,1,1,372
"{} => {Huurwoningen_95}",1,1,1,372
"{} => {Woningen_97}",1,1,1,372
"{} => {NietWoningen_98}",1,1,1,372
"{} => {GemiddeldeWoningwaarde_99}",1,1,1,372
"{} => {GeregistreerdeMisdrijvenPer1000Inw_3}",1,1,1,372
"{OverigPluimvee_184} => {SterkStedelijk_53}",0.043010752688172,0.8,1.43076923076923,16
"{OverigPluimvee_184} => {Kippen_181}",0.0537634408602151,1,1.34782608695652,20
"{OverigPluimvee_184} => {Varkens_180}",0.0510752688172043,0.95,1.22708333333333,19
"{OverigPluimvee_184} => {MatigStedelijk_54}",0.0483870967741935,0.9,1.08701298701299,18
"{OverigPluimvee_184} => {AantalBioscopenBinnen10Km_232}",0.0510752688172043,0.95,1.11132075471698,19
"{OverigPluimvee_184} => {NatuurlijkGrasland_192}",0.0483870967741935,0.9,1.02073170731707,18
"{OverigPluimvee_184} => {Marokko_47}",0.0483870967741935,0.9,1.01454545454545,18
"{OverigPluimvee_184} => {AantalScholenHavoVwoBinnen5Km_225}",0.0537634408602151,1,1.1238670694864,20
"{OverigPluimvee_184} => {TuinbouwOpenGrond_189}",0.0510752688172043,0.95,1.06126126126126,19
"{OverigPluimvee_184} => {Geiten_178}",0.0537634408602151,1,1.10714285714286,20
"{OverigPluimvee_184} => {ProvincialeWegen_211}",0.0510752688172043,0.95,1.0486646884273,19
"{OverigPluimvee_184} => {Groenvoedergewassen_194}",0.0510752688172043,0.95,1.0486646884273,19
"{OverigPluimvee_184} => {VasteMest_199}",0.0537634408602151,1,1.10385756676558,20
"{OverigPluimvee_184} => {Turkije_50}",0.0537634408602151,1,1.08771929824561,20
"{OverigPluimvee_184} => {Akkerbouw_188}",0.0510752688172043,0.95,1.02138728323699,19
"{OverigPluimvee_184} => {BijstandGerelateerdVanafAOWLeeftijd_161}",0.0510752688172043,0.95,1.01551724137931,19
"{OverigPluimvee_184} => {TijdelijkGrasland_193}",0.0510752688172043,0.95,0.992696629213483,19
"{OverigPluimvee_184} => {AantalScholenVmboBinnen5Km_223}",0.0537634408602151,1,1.04201680672269,20
"{OverigPluimvee_184} => {MigratiesaldoRelatief_77}",0.0537634408602151,1,1.03621169916435,20
"{OverigPluimvee_184} => {WeinigStedelijk_55}",0.0537634408602151,1,1.03621169916435,20
"{OverigPluimvee_184} => {VoormaligeNederlandseAntillenAruba_48}",0.0510752688172043,0.95,0.976243093922652,19
"{OverigPluimvee_184} => {Nieuwbouwwoningen_91}",0.0537634408602151,1,1.01917808219178,20
"{OverigPluimvee_184} => {DunneMest_198}",0.0537634408602151,1,1.01917808219178,20
"{OverigPluimvee_184} => {AantalZiekenhuizenBinnen20Km_217}",0.0537634408602151,1,1.01639344262295,20
"{OverigPluimvee_184} => {Migratiesaldo_76}",0.0537634408602151,1,1.01362397820163,20
"{OverigPluimvee_184} => {Schapen_177}",0.0537634408602151,1,1.01362397820163,20
"{OverigPluimvee_184} => {SaldoVermeerderingWoningenRelatief_92}",0.0537634408602151,1,1.01086956521739,20
"{OverigPluimvee_184} => {GeboorteoverschotRelatief_63}",0.0537634408602151,1,1.01086956521739,20
"{OverigPluimvee_184} => {EigendomOnbekend_96}",0.0537634408602151,1,1.01086956521739,20
"{OverigPluimvee_184} => {Suriname_49}",0.0510752688172043,0.95,0.960326086956522,19
"{OverigPluimvee_184} => {Marokko_38}",0.0537634408602151,1,1.01086956521739,20
"{OverigPluimvee_184} => {Rundvee_176}",0.0537634408602151,1,1.01086956521739,20
"{OverigPluimvee_184} => {Turkije_41}",0.0537634408602151,1,1.01086956521739,20
"{OverigPluimvee_184} => {BinnenlandsMigratiesaldoRelatief_72}",0.0537634408602151,1,1.00813008130081,20
"{OverigPluimvee_184} => {Geboorteoverschot_62}",0.0537634408602151,1,1.00813008130081,20
"{OverigPluimvee_184} => {PaardenEnPonyS_179}",0.0537634408602151,1,1.00813008130081,20
"{OverigPluimvee_184} => {WaterTotaal_249}",0.0537634408602151,1,1.00813008130081,20
"{OverigPluimvee_184} => {Binnenwater_250}",0.0537634408602151,1,1.00813008130081,20
"{OverigPluimvee_184} => {BevolkingsgroeiRelatief_80}",0.0537634408602151,1,1.00540540540541,20
"{OverigPluimvee_184} => {BinnenlandsMigratiesaldo_71}",0.0537634408602151,1,1.00540540540541,20
"{OverigPluimvee_184} => {Bevolkingsgroei_79}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {UitwendigeDoodsoorzaken_67}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {NietStedelijk_56}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {KaliUitscheiding_197}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {Fosfaatuitscheiding_196}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {Stikstofuitscheiding_195}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {BlijvendGrasland_191}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {TotaleOppervlakte_187}",0.0537634408602151,1,1.00269541778976,20
"{OverigPluimvee_184} => {Eenpersoonshuishoudens_144}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {InkomenUitArbeid_149}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaalParticuliereHuishoudens_148}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Overdrachtsinkomen_151}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Eenpersoonshuishoudens_152}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Meerpersoonshuishoudens_145}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Meerpersoonshuishoudens_153}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {EigenWoning_154}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {EigenWoning_146}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {UitkeringsontvangersTotaal_156}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {ALandbouwBosbouwEnVisserij_169}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {BedrijfsvestigingenTotaal_168}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AOW_167}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {GIHandelEnHoreca_171}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {WajongUitkering_166}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {HJVervoerInformatieEnCommunicatie_172}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {KLFinancieleDienstenOnroerendGoed_173}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {MNZakelijkeDienstverlening_174}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {RUCultuurRecreatieOverigeDiensten_175}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {WIAUitkeringWGARegeling_165}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {WAOUitkering_164}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {ArbeidsongeschiktheidTotaal_163}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {BijstandTotDeAOWLeeftijd_162}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {BijstandGerelateerdTotAOWLeeftijd_160}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Werkloosheid_159}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {VanafDeAOWLeeftijd_158}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotDeAOWLeeftijd_157}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {BFNijverheidEnEnergie_170}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {PersonenautoS_200}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotSchoolVmbo_222}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotSchoolHavoVwo_224}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotGroteSupermarkt_226}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AantalGroteSupermarktenBinnen3Km_227}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotRestaurant_228}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AantalRestaurantsBinnen3Km_229}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotBibliotheek_230}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotBioscoop_231}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotZwembad_233}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotOpritHoofdverkeersweg_236}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotTreinstation_237}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaleOppervlakte_247}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Land_248}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Omgevingsadressendichtheid_252}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Wijken_310}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Buurten_311}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AantalBasisonderwijsscholenBinnen3Km_221}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotSchoolBasisonderwijs_220}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {PersonenautoSRelatief_201}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {PersonenautoSParticulieren_202}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {PersonenautoSParticulierenRelatief_203}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Bedrijfsmotorvoertuigen_204}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Motorfietsen_205}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {MotorfietsenRelatief_206}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {VoertuigenMetBromfietskenteken_207}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {VoertuigenMetBromfietskenteken_208}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaleWeglengte_209}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {GemeentelijkeEnWaterschapswegen_210}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotHuisartsenpraktijk_213}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AantalHuisartsenpraktijkenBinnen3Km_214}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotHuisartsenpost_215}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotZiekenhuis_216}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AfstandTotKinderdagverblijf_218}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {AantalKinderdagverblijvenBinnen3Km_219}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Overdrachtsinkomen_143}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {InkomenUitArbeid_141}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaalParticuliereHuishoudens_140}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Gehuwd_26}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Gescheiden_27}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Verweduwd_28}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Inwoners15JaarOfOuder_29}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Ongehuwd_30}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Gehuwd_31}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Gescheiden_32}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Verweduwd_33}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {NederlandseAchtergrond_34}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaalMetMigratieachtergrond_35}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {WesterseMigratieachtergrond_36}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaalNietWesterseMigratieachtergrond_37}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {VoormaligeNederlandseAntillenAruba_39}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Suriname_40}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {OverigNietWesterseMigratieachtergrond_42}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {NederlandseAchtergrond_43}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaalMetMigratieachtergrond_44}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {WesterseMigratieachtergrond_45}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaalNietWesterseMigratieachtergrond_46}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {OverigNietWesterseMigratieachtergrond_51}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Bevolkingsdichtheid_57}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Geboorte_58}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {GeboorteRelatief_59}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Sterfte_60}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Ongehuwd_25}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {GrijzeDruk_24}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {number}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {TotaleBevolking_1}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Mannen_2}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {Vrouwen_3}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {JongerDan5Jaar_4}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_5Tot10Jaar_5}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_10Tot15Jaar_6}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_15Tot20Jaar_7}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_20Tot25Jaar_8}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_25Tot45Jaar_9}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_45Tot65Jaar_10}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_65Tot80Jaar_11}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {k_80JaarOfOuder_12}",0.0537634408602151,1,1,20
"{OverigPluimvee_184} => {JongerDan5Jaar_13}",0.0537634408602151,1,1,20
